"","DATE","STATE","EVTYPE","FATALITIES","INJURIES","PROPDMG","PROPDMGEXP","CROPDMG","CROPDMGEXP","SHORTDATE","PROPDMG_TOTAL","CROPDMG_TOTAL","DAMAGES"
"23300",1974-05-12,"GA","TORNADO",2,7,2.5,"M",0,"",1974-05-01,2.5,0,2.5
"23301",1974-05-12,"GA","TORNADO",0,6,250,"K",0,"",1974-05-01,0.25,0,0.25
"23302",1974-05-12,"GA","TORNADO",0,2,25,"K",0,"",1974-05-01,0.025,0,0.025
"23303",1974-05-12,"GA","TORNADO",1,3,250,"K",0,"",1974-05-01,0.25,0,0.25
"23336",1974-11-20,"GA","TORNADO",0,6,2.5,"M",0,"",1974-11-01,2.5,0,2.5
"23338",1974-11-20,"GA","TORNADO",0,15,250,"K",0,"",1974-11-01,0.25,0,0.25
"23366",1975-01-12,"GA","TORNADO",0,15,2.5,"M",0,"",1975-01-01,2.5,0,2.5
"23370",1975-01-12,"GA","TORNADO",0,1,25,"K",0,"",1975-01-01,0.025,0,0.025
"23379",1975-02-18,"GA","TORNADO",2,50,25,"M",0,"",1975-02-01,25,0,25
"23382",1975-02-23,"GA","TORNADO",0,2,250,"K",0,"",1975-02-01,0.25,0,0.25
"23407",1975-03-13,"GA","TORNADO",0,1,250,"K",0,"",1975-03-01,0.25,0,0.25
"23408",1975-03-13,"GA","TORNADO",0,1,250,"K",0,"",1975-03-01,0.25,0,0.25
"23413",1975-03-13,"GA","TORNADO",0,5,250,"K",0,"",1975-03-01,0.25,0,0.25
"23415",1975-03-14,"GA","TORNADO",0,7,250,"K",0,"",1975-03-01,0.25,0,0.25
"23416",1975-03-24,"GA","TORNADO",3,152,250,"M",0,"",1975-03-01,250,0,250
"23418",1975-03-24,"GA","TORNADO",0,3,250,"K",0,"",1975-03-01,0.25,0,0.25
"23441",1975-05-03,"GA","TORNADO",0,1,250,"K",0,"",1975-05-01,0.25,0,0.25
"23443",1975-05-03,"GA","TORNADO",0,2,250,"K",0,"",1975-05-01,0.25,0,0.25
"23493",1975-09-23,"GA","TORNADO",0,8,25,"K",0,"",1975-09-01,0.025,0,0.025
"23540",1976-05-14,"GA","TORNADO",0,1,25,"K",0,"",1976-05-01,0.025,0,0.025
"23542",1976-05-14,"GA","TORNADO",0,2,250,"K",0,"",1976-05-01,0.25,0,0.25
"23589",1977-03-30,"GA","TORNADO",0,4,250,"K",0,"",1977-03-01,0.25,0,0.25
"23596",1977-04-04,"GA","TORNADO",1,15,2.5,"M",0,"",1977-04-01,2.5,0,2.5
"23603",1977-04-04,"GA","TORNADO",0,1,250,"K",0,"",1977-04-01,0.25,0,0.25
"23648",1977-08-02,"GA","TORNADO",0,1,2.5,"K",0,"",1977-08-01,0.0025,0,0.0025
"23650",1977-09-07,"GA","TORNADO",0,1,25,"K",0,"",1977-09-01,0.025,0,0.025
"23685",1978-05-01,"GA","TORNADO",0,3,2.5,"M",0,"",1978-05-01,2.5,0,2.5
"23707",1978-06-08,"GA","TORNADO",0,2,25,"K",0,"",1978-06-01,0.025,0,0.025
"23730",1978-08-01,"GA","TORNADO",0,1,25,"K",0,"",1978-08-01,0.025,0,0.025
"23750",1979-03-23,"GA","TORNADO",0,1,250,"K",0,"",1979-03-01,0.25,0,0.25
"23756",1979-04-09,"GA","TORNADO",0,10,2.5,"M",0,"",1979-04-01,2.5,0,2.5
"23771",1979-04-13,"GA","TORNADO",0,1,2.5,"M",0,"",1979-04-01,2.5,0,2.5
"23863",1980-03-21,"GA","TORNADO",0,2,2.5,"M",0,"",1980-03-01,2.5,0,2.5
"23866",1980-03-21,"GA","TORNADO",0,1,25,"K",0,"",1980-03-01,0.025,0,0.025
"23883",1980-04-08,"GA","TORNADO",0,1,25,"K",0,"",1980-04-01,0.025,0,0.025
"23889",1980-04-13,"GA","TORNADO",0,4,2.5,"M",0,"",1980-04-01,2.5,0,2.5
"23895",1980-04-13,"GA","TORNADO",0,1,25,"K",0,"",1980-04-01,0.025,0,0.025
"23903",1980-04-27,"GA","TORNADO",0,1,250,"K",0,"",1980-04-01,0.25,0,0.25
"23919",1980-05-23,"GA","TORNADO",0,2,250,"K",0,"",1980-05-01,0.25,0,0.25
"24070",1981-03-18,"GA","TORNADO",0,1,25,"K",0,"",1981-03-01,0.025,0,0.025
"24158",1981-11-19,"GA","TORNADO",0,5,2.5,"M",0,"",1981-11-01,2.5,0,2.5
"24195",1982-04-05,"GA","TORNADO",0,1,2.5,"M",0,"",1982-04-01,2.5,0,2.5
"24202",1982-04-25,"GA","TORNADO",0,5,2.5,"M",0,"",1982-04-01,2.5,0,2.5
"24205",1982-04-26,"GA","TORNADO",0,5,250,"K",0,"",1982-04-01,0.25,0,0.25
"24320",1983-02-22,"GA","TORNADO",0,3,250,"K",0,"",1983-02-01,0.25,0,0.25
"24365",1983-05-19,"GA","TORNADO",0,1,250,"K",0,"",1983-05-01,0.25,0,0.25
"24366",1983-05-19,"GA","TORNADO",0,3,250,"K",0,"",1983-05-01,0.25,0,0.25
"24435",1983-10-12,"GA","TORNADO",0,6,250,"K",0,"",1983-10-01,0.25,0,0.25
"24445",1983-11-20,"GA","TORNADO",0,2,250,"K",0,"",1983-11-01,0.25,0,0.25
"24456",1983-12-04,"GA","TORNADO",0,2,0.03,"K",0,"",1983-12-01,3e-05,0,3e-05
"24459",1983-12-05,"GA","TORNADO",0,3,0.03,"K",0,"",1983-12-01,3e-05,0,3e-05
"24479",1983-12-28,"GA","WIND",0,1,0,"",0,"",1983-12-01,0,0,0
"24485",1983-12-29,"GA","WIND",0,3,0,"",0,"",1983-12-01,0,0,0
"24520",1984-03-27,"GA","STORM",0,1,0,"",0,"",1984-03-01,0,0,0
"24549",1984-03-28,"GA","TORNADO",0,1,250,"K",0,"",1984-03-01,0.25,0,0.25
"24558",1984-03-28,"GA","WIND",0,2,0,"",0,"",1984-03-01,0,0,0
"24601",1984-04-22,"GA","TORNADO",0,2,250,"K",0,"",1984-04-01,0.25,0,0.25
"24636",1984-05-03,"GA","TORNADO",0,1,250,"K",0,"",1984-05-01,0.25,0,0.25
"24645",1984-05-03,"GA","TORNADO",0,3,2.5,"M",0,"",1984-05-01,2.5,0,2.5
"24659",1984-05-03,"GA","TORNADO",0,30,2.5,"M",0,"",1984-05-01,2.5,0,2.5
"24664",1984-05-03,"GA","WIND",0,1,0,"",0,"",1984-05-01,0,0,0
"24666",1984-05-03,"GA","WIND",0,2,0,"",0,"",1984-05-01,0,0,0
"24672",1984-05-03,"GA","WIND",1,5,0,"",0,"",1984-05-01,0,0,0
"24752",1984-07-02,"GA","WIND",0,5,0,"",0,"",1984-07-01,0,0,0
"24784",1984-11-10,"GA","WIND",0,1,0,"",0,"",1984-11-01,0,0,0
"24789",1984-11-10,"GA","WIND",0,3,0,"",0,"",1984-11-01,0,0,0
"24793",1984-11-10,"GA","TORNADO",0,8,2.5,"M",0,"",1984-11-01,2.5,0,2.5
"24835",1985-04-05,"GA","TORNADO",0,16,2.5,"M",0,"",1985-04-01,2.5,0,2.5
"24837",1985-04-05,"GA","WIND",0,2,0,"",0,"",1985-04-01,0,0,0
"24883",1985-04-05,"GA","WIND",0,2,0,"",0,"",1985-04-01,0,0,0
"24903",1985-04-05,"GA","WIND",0,1,0,"",0,"",1985-04-01,0,0,0
"25060",1985-10-15,"GA","WIND",0,1,0,"",0,"",1985-10-01,0,0,0
"25065",1985-12-12,"GA","WIND",0,1,0,"",0,"",1985-12-01,0,0,0
"25072",1986-02-10,"GA","TORNADO",0,2,250,"K",0,"",1986-02-01,0.25,0,0.25
"25073",1986-02-10,"GA","TORNADO",0,12,2.5,"M",0,"",1986-02-01,2.5,0,2.5
"25075",1986-02-10,"GA","TORNADO",0,7,250,"K",0,"",1986-02-01,0.25,0,0.25
"25095",1986-03-13,"GA","TORNADO",0,4,250,"K",0,"",1986-03-01,0.25,0,0.25
"25100",1986-03-19,"GA","TORNADO",0,15,25,"M",0,"",1986-03-01,25,0,25
"25137",1986-06-09,"GA","WIND",0,2,0,"",0,"",1986-06-01,0,0,0
"25224",1986-07-29,"GA","WIND",0,6,0,"",0,"",1986-07-01,0,0,0
"25226",1986-07-29,"GA","WIND",0,2,0,"",0,"",1986-07-01,0,0,0
"25280",1986-11-20,"GA","WIND",0,1,0,"",0,"",1986-11-01,0,0,0
"25370",1987-07-25,"GA","WIND",0,2,0,"",0,"",1987-07-01,0,0,0
"25439",1988-04-18,"GA","TORNADO",0,3,2.5,"M",0,"",1988-04-01,2.5,0,2.5
"25442",1988-04-19,"GA","WIND",0,1,0,"",0,"",1988-04-01,0,0,0
"25443",1988-04-19,"GA","WIND",0,1,0,"",0,"",1988-04-01,0,0,0
"25546",1988-06-09,"GA","WIND",0,1,0,"",0,"",1988-06-01,0,0,0
"25552",1988-06-17,"GA","WIND",0,2,0,"",0,"",1988-06-01,0,0,0
"25579",1988-06-25,"GA","WIND",0,2,0,"",0,"",1988-06-01,0,0,0
"25596",1988-06-26,"GA","WIND",0,1,0,"",0,"",1988-06-01,0,0,0
"25634",1988-07-25,"GA","WIND",0,1,0,"",0,"",1988-07-01,0,0,0
"25664",1988-11-05,"GA","WIND",0,3,0,"",0,"",1988-11-01,0,0,0
"25682",1989-03-05,"GA","TORNADO",0,6,2.5,"M",0,"",1989-03-01,2.5,0,2.5
"25684",1989-03-05,"GA","TORNADO",0,23,25,"M",0,"",1989-03-01,25,0,25
"25685",1989-03-05,"GA","WIND",0,2,0,"",0,"",1989-03-01,0,0,0
"25712",1989-04-04,"GA","WIND",0,1,0,"",0,"",1989-04-01,0,0,0
"25724",1989-04-04,"GA","WIND",1,1,0,"",0,"",1989-04-01,0,0,0
"25734",1989-04-04,"GA","WIND",0,1,0,"",0,"",1989-04-01,0,0,0
"25745",1989-04-04,"GA","WIND",0,2,0,"",0,"",1989-04-01,0,0,0
"25748",1989-04-04,"GA","WIND",0,1,0,"",0,"",1989-04-01,0,0,0
"25750",1989-04-04,"GA","TORNADO",0,3,2.5,"M",0,"",1989-04-01,2.5,0,2.5
"25751",1989-04-04,"GA","WIND",0,2,0,"",0,"",1989-04-01,0,0,0
"25763",1989-04-04,"GA","WIND",0,2,0,"",0,"",1989-04-01,0,0,0
"25796",1989-05-01,"GA","TORNADO",0,1,250,"K",0,"",1989-05-01,0.25,0,0.25
"25801",1989-05-01,"GA","TORNADO",0,1,250,"K",0,"",1989-05-01,0.25,0,0.25
"25818",1989-05-05,"GA","TORNADO",0,11,250,"K",0,"",1989-05-01,0.25,0,0.25
"25828",1989-05-05,"GA","TORNADO",0,15,2.5,"M",0,"",1989-05-01,2.5,0,2.5
"26005",1989-07-26,"GA","WIND",0,1,0,"",0,"",1989-07-01,0,0,0
"26046",1989-10-01,"GA","TORNADO",2,12,2.5,"M",0,"",1989-10-01,2.5,0,2.5
"26051",1989-10-01,"GA","TORNADO",0,2,25,"K",0,"",1989-10-01,0.025,0,0.025
"26063",1989-11-08,"GA","TORNADO",1,8,250,"K",0,"",1989-11-01,0.25,0,0.25
"26064",1989-11-15,"GA","TORNADO",0,5,25,"K",0,"",1989-11-01,0.025,0,0.025
"26072",1989-11-15,"GA","TORNADO",0,1,2.5,"M",0,"",1989-11-01,2.5,0,2.5
"26078",1989-11-15,"GA","TORNADO",0,3,2.5,"M",0,"",1989-11-01,2.5,0,2.5
"26081",1989-11-15,"GA","TORNADO",0,7,2.5,"M",0,"",1989-11-01,2.5,0,2.5
"26082",1989-11-15,"GA","TORNADO",0,7,2.5,"M",0,"",1989-11-01,2.5,0,2.5
"26175",1990-01-29,"GA","TORNADO",0,6,250,"K",0,"",1990-01-01,0.25,0,0.25
"26187",1990-02-10,"GA","WIND",0,2,0,"",0,"",1990-02-01,0,0,0
"26188",1990-02-10,"GA","WIND",0,1,0,"",0,"",1990-02-01,0,0,0
"26198",1990-02-10,"GA","TORNADO",0,2,250,"K",0,"",1990-02-01,0.25,0,0.25
"26199",1990-02-10,"GA","TORNADO",0,2,2.5,"M",0,"",1990-02-01,2.5,0,2.5
"26200",1990-02-10,"GA","WIND",0,2,0,"",0,"",1990-02-01,0,0,0
"26207",1990-02-10,"GA","WIND",0,10,0,"",0,"",1990-02-01,0,0,0
"26211",1990-02-10,"GA","WIND",0,3,0,"",0,"",1990-02-01,0,0,0
"26215",1990-02-10,"GA","WIND",1,1,0,"",0,"",1990-02-01,0,0,0
"26233",1990-02-10,"GA","TORNADO",0,1,2.5,"M",0,"",1990-02-01,2.5,0,2.5
"26240",1990-02-10,"GA","WIND",0,1,0,"",0,"",1990-02-01,0,0,0
"26244",1990-02-10,"GA","WIND",0,1,0,"",0,"",1990-02-01,0,0,0
"26249",1990-02-10,"GA","WIND",0,1,0,"",0,"",1990-02-01,0,0,0
"26262",1990-02-10,"GA","WIND",0,3,0,"",0,"",1990-02-01,0,0,0
"26299",1990-02-16,"GA","TORNADO",0,11,250,"K",0,"",1990-02-01,0.25,0,0.25
"26335",1990-02-22,"GA","WIND",0,5,0,"",0,"",1990-02-01,0,0,0
"26347",1990-02-22,"GA","WIND",0,1,0,"",0,"",1990-02-01,0,0,0
"26452",1990-04-28,"GA","WIND",0,1,0,"",0,"",1990-04-01,0,0,0
"26466",1990-04-28,"GA","WIND",0,1,0,"",0,"",1990-04-01,0,0,0
"26473",1990-04-28,"GA","WIND",0,2,0,"",0,"",1990-04-01,0,0,0
"26559",1990-06-09,"GA","WIND",0,1,0,"",0,"",1990-06-01,0,0,0
"26822",1991-03-01,"GA","WIND",0,3,0,"",0,"",1991-03-01,0,0,0
"26847",1991-03-02,"GA","TORNADO",0,4,250,"K",0,"",1991-03-01,0.25,0,0.25
"26863",1991-03-03,"GA","TORNADO",0,20,0,"K",0,"",1991-03-01,0,0,0
"26875",1991-03-03,"GA","WIND",0,2,0,"",0,"",1991-03-01,0,0,0
"26910",1991-03-29,"GA","TORNADO",0,2,25,"M",0,"",1991-03-01,25,0,25
"26912",1991-03-29,"GA","TORNADO",0,25,25,"M",0,"",1991-03-01,25,0,25
"26948",1991-03-29,"GA","WIND",0,1,0,"",0,"",1991-03-01,0,0,0
"27037",1991-04-27,"GA","TORNADO",0,5,250,"K",0,"",1991-04-01,0.25,0,0.25
"27047",1991-04-27,"GA","TORNADO",0,3,250,"K",0,"",1991-04-01,0.25,0,0.25
"27051",1991-04-27,"GA","WIND",0,3,0,"",0,"",1991-04-01,0,0,0
"27262",1991-06-04,"GA","WIND",0,2,0,"",0,"",1991-06-01,0,0,0
"27286",1991-07-10,"GA","WIND",0,2,0,"",0,"",1991-07-01,0,0,0
"27304",1991-07-15,"GA","WIND",0,3,0,"",0,"",1991-07-01,0,0,0
"27469",1992-07-01,"GA","WIND",0,5,0,"",0,"",1992-07-01,0,0,0
"27575",1992-08-10,"GA","WIND",0,1,0,"",0,"",1992-08-01,0,0,0
"27650",1992-11-22,"GA","WIND",0,1,0,"",0,"",1992-11-01,0,0,0
"27652",1992-11-22,"GA","TORNADO",0,34,25,"M",0,"",1992-11-01,25,0,25
"27653",1992-11-22,"GA","TORNADO",0,12,2.5,"M",0,"",1992-11-01,2.5,0,2.5
"27654",1992-11-22,"GA","TORNADO",1,7,2.5,"M",0,"",1992-11-01,2.5,0,2.5
"27660",1992-11-22,"GA","TORNADO",0,3,2.5,"M",0,"",1992-11-01,2.5,0,2.5
"27668",1992-11-22,"GA","TORNADO",0,1,2.5,"M",0,"",1992-11-01,2.5,0,2.5
"27670",1992-11-22,"GA","TORNADO",4,55,25,"M",0,"",1992-11-01,25,0,25
"27672",1992-11-22,"GA","TORNADO",1,31,2.5,"M",0,"",1992-11-01,2.5,0,2.5
"27674",1992-11-22,"GA","TORNADO",0,1,250,"K",0,"",1992-11-01,0.25,0,0.25
"27679",1992-11-24,"GA","TORNADO",0,9,25,"K",0,"",1992-11-01,0.025,0,0.025
"27690",1963-03-27,"HI","TORNADO",0,1,25,"K",0,"",1963-03-01,0.025,0,0.025
"27695",1971-01-28,"HI","TORNADO",0,4,2.5,"M",0,"",1971-01-01,2.5,0,2.5
"28005",1978-04-07,"ID","TORNADO",0,1,2.5,"M",0,"",1978-04-01,2.5,0,2.5
"28009",1978-08-19,"ID","TORNADO",0,1,25,"K",0,"",1978-08-01,0.025,0,0.025
"28227",1987-06-05,"ID","TORNADO",0,3,2.5,"K",0,"",1987-06-01,0.0025,0,0.0025
"28234",1987-06-15,"ID","STORM",0,5,0,"",0,"",1987-06-01,0,0,0
"28245",1987-06-15,"ID","WIND",0,1,0,"",0,"",1987-06-01,0,0,0
"28287",1988-06-25,"ID","WIND",0,23,0,"",0,"",1988-06-01,0,0,0
"28288",1988-06-25,"ID","WIND",0,5,0,"",0,"",1988-06-01,0,0,0
"28296",1988-08-10,"ID","WIND",2,10,0,"",0,"",1988-08-01,0,0,0
"28313",1989-07-14,"ID","WIND",0,1,0,"",0,"",1989-07-01,0,0,0
"28322",1989-08-12,"ID","WIND",0,4,0,"",0,"",1989-08-01,0,0,0
"28325",1989-08-12,"ID","WIND",0,1,0,"",0,"",1989-08-01,0,0,0
"28326",1989-08-17,"ID","WIND",0,1,0,"",0,"",1989-08-01,0,0,0
"28330",1989-09-17,"ID","WIND",0,1,0,"",0,"",1989-09-01,0,0,0
"28470",1992-07-20,"ID","WIND",0,1,0,"",0,"",1992-07-01,0,0,0
"28480",1950-01-03,"IL","TORNADO",0,3,250,"K",0,"",1950-01-01,0.25,0,0.25
"28486",1950-12-02,"IL","TORNADO",1,3,25,"K",0,"",1950-12-01,0.025,0,0.025
"28488",1950-12-02,"IL","TORNADO",2,25,2.5,"M",0,"",1950-12-01,2.5,0,2.5
"28490",1951-06-27,"IL","TORNADO",0,35,2.5,"M",0,"",1951-06-01,2.5,0,2.5
"28491",1951-06-27,"IL","TORNADO",1,15,2.5,"M",0,"",1951-06-01,2.5,0,2.5
"28493",1951-11-13,"IL","TORNADO",0,7,250,"K",0,"",1951-11-01,0.25,0,0.25
"28494",1951-12-06,"IL","TORNADO",1,1,250,"K",0,"",1951-12-01,0.25,0,0.25
"28495",1952-03-18,"IL","TORNADO",0,1,25,"K",0,"",1952-03-01,0.025,0,0.025
"28500",1953-04-09,"IL","TORNADO",0,3,25,"K",0,"",1953-04-01,0.025,0,0.025
"28501",1953-04-09,"IL","TORNADO",0,5,25,"M",0,"",1953-04-01,25,0,25
"28502",1953-04-09,"IL","TORNADO",1,5,25,"M",0,"",1953-04-01,25,0,25
"28505",1954-03-12,"IL","TORNADO",0,3,250,"K",0,"",1954-03-01,0.25,0,0.25
"28507",1954-04-07,"IL","TORNADO",1,13,250,"K",0,"",1954-04-01,0.25,0,0.25
"28510",1954-05-31,"IL","TORNADO",0,2,250,"K",0,"",1954-05-01,0.25,0,0.25
"28511",1954-07-21,"IL","TORNADO",0,1,250,"K",0,"",1954-07-01,0.25,0,0.25
"28526",1955-04-28,"IL","TORNADO",0,3,2.5,"M",0,"",1955-04-01,2.5,0,2.5
"28531",1955-05-26,"IL","TORNADO",0,1,250,"K",0,"",1955-05-01,0.25,0,0.25
"28532",1955-05-26,"IL","TORNADO",0,2,250,"K",0,"",1955-05-01,0.25,0,0.25
"28545",1955-08-29,"IL","TORNADO",0,2,250,"K",0,"",1955-08-01,0.25,0,0.25
"28552",1955-10-06,"IL","TORNADO",0,2,250,"K",0,"",1955-10-01,0.25,0,0.25
"28575",1956-02-25,"IL","TORNADO",6,20,2.5,"M",0,"",1956-02-01,2.5,0,2.5
"28578",1956-02-25,"IL","TORNADO",0,2,2.5,"M",0,"",1956-02-01,2.5,0,2.5
"28582",1956-03-06,"IL","TORNADO",0,6,250,"K",0,"",1956-03-01,0.25,0,0.25
"28631",1956-08-23,"IL","TORNADO",0,3,25,"K",0,"",1956-08-01,0.025,0,0.025
"28633",1956-08-23,"IL","TORNADO",0,3,250,"K",0,"",1956-08-01,0.25,0,0.25
"28648",1957-04-03,"IL","TORNADO",0,5,250,"K",0,"",1957-04-01,0.25,0,0.25
"28678",1957-06-14,"IL","TORNADO",0,1,250,"K",0,"",1957-06-01,0.25,0,0.25
"28679",1957-06-14,"IL","TORNADO",0,5,250,"K",0,"",1957-06-01,0.25,0,0.25
"28680",1957-06-14,"IL","TORNADO",2,50,2.5,"M",0,"",1957-06-01,2.5,0,2.5
"28697",1957-12-18,"IL","TORNADO",0,1,25,"K",0,"",1957-12-01,0.025,0,0.025
"28698",1957-12-18,"IL","TORNADO",0,1,25,"K",0,"",1957-12-01,0.025,0,0.025
"28699",1957-12-18,"IL","TORNADO",0,1,250,"K",0,"",1957-12-01,0.25,0,0.25
"28700",1957-12-18,"IL","TORNADO",0,2,25,"K",0,"",1957-12-01,0.025,0,0.025
"28701",1957-12-18,"IL","TORNADO",1,45,2.5,"M",0,"",1957-12-01,2.5,0,2.5
"28706",1957-12-18,"IL","TORNADO",1,6,250,"K",0,"",1957-12-01,0.25,0,0.25
"28707",1957-12-18,"IL","TORNADO",11,180,2.5,"M",0,"",1957-12-01,2.5,0,2.5
"28708",1957-12-18,"IL","TORNADO",0,1,250,"K",0,"",1957-12-01,0.25,0,0.25
"28709",1957-12-18,"IL","TORNADO",0,5,25,"K",0,"",1957-12-01,0.025,0,0.025
"28712",1957-12-18,"IL","TORNADO",0,3,250,"K",0,"",1957-12-01,0.25,0,0.25
"28713",1957-12-18,"IL","TORNADO",0,10,2.5,"M",0,"",1957-12-01,2.5,0,2.5
"28714",1957-12-18,"IL","TORNADO",0,10,2.5,"M",0,"",1957-12-01,2.5,0,2.5
"28716",1957-12-18,"IL","TORNADO",0,4,250,"K",0,"",1957-12-01,0.25,0,0.25
"28721",1958-04-05,"IL","TORNADO",1,8,250,"K",0,"",1958-04-01,0.25,0,0.25
"28725",1958-04-05,"IL","TORNADO",0,5,250,"K",0,"",1958-04-01,0.25,0,0.25
"28727",1958-04-05,"IL","TORNADO",0,6,250,"K",0,"",1958-04-01,0.25,0,0.25
"28736",1958-05-03,"IL","TORNADO",0,1,25,"K",0,"",1958-05-01,0.025,0,0.025
"28737",1958-05-03,"IL","TORNADO",0,1,25,"K",0,"",1958-05-01,0.025,0,0.025
"28792",1958-07-11,"IL","TORNADO",0,1,25,"K",0,"",1958-07-01,0.025,0,0.025
"28794",1958-07-11,"IL","TORNADO",0,3,25,"K",0,"",1958-07-01,0.025,0,0.025
"28830",1959-03-14,"IL","TORNADO",0,1,25,"K",0,"",1959-03-01,0.025,0,0.025
"28833",1959-03-15,"IL","TORNADO",0,2,25,"K",0,"",1959-03-01,0.025,0,0.025
"28878",1959-09-26,"IL","TORNADO",0,14,250,"K",0,"",1959-09-01,0.25,0,0.25
"28883",1959-09-27,"IL","TORNADO",0,1,250,"K",0,"",1959-09-01,0.25,0,0.25
"28887",1959-10-08,"IL","TORNADO",0,1,250,"K",0,"",1959-10-01,0.25,0,0.25
"28892",1960-02-09,"IL","TORNADO",0,2,250,"K",0,"",1960-02-01,0.25,0,0.25
"28895",1960-02-09,"IL","TORNADO",0,1,250,"K",0,"",1960-02-01,0.25,0,0.25
"28909",1960-04-17,"IL","TORNADO",0,4,25,"K",0,"",1960-04-01,0.025,0,0.025
"28941",1960-06-05,"IL","TORNADO",0,1,250,"K",0,"",1960-06-01,0.25,0,0.25
"28956",1960-06-23,"IL","TORNADO",0,1,250,"K",0,"",1960-06-01,0.25,0,0.25
"28969",1960-06-30,"IL","TORNADO",0,17,2.5,"M",0,"",1960-06-01,2.5,0,2.5
"28998",1961-03-04,"IL","TORNADO",0,1,250,"K",0,"",1961-03-01,0.25,0,0.25
"29002",1961-03-04,"IL","TORNADO",1,115,25,"M",0,"",1961-03-01,25,0,25
"29009",1961-03-06,"IL","TORNADO",0,1,250,"K",0,"",1961-03-01,0.25,0,0.25
"29011",1961-03-06,"IL","TORNADO",0,2,250,"K",0,"",1961-03-01,0.25,0,0.25
"29013",1961-03-06,"IL","TORNADO",0,3,250,"K",0,"",1961-03-01,0.25,0,0.25
"29015",1961-03-06,"IL","TORNADO",0,2,250,"K",0,"",1961-03-01,0.25,0,0.25
"29021",1961-04-23,"IL","TORNADO",0,4,2.5,"M",0,"",1961-04-01,2.5,0,2.5
"29029",1961-04-24,"IL","TORNADO",0,3,250,"K",0,"",1961-04-01,0.25,0,0.25
"29044",1961-05-14,"IL","TORNADO",0,8,2.5,"M",0,"",1961-05-01,2.5,0,2.5
"29088",1961-09-01,"IL","TORNADO",0,4,25,"K",0,"",1961-09-01,0.025,0,0.025
"29098",1961-09-24,"IL","TORNADO",0,1,25,"K",0,"",1961-09-01,0.025,0,0.025
"29150",1962-06-23,"IL","TORNADO",0,10,250,"K",0,"",1962-06-01,0.25,0,0.25
"29174",1963-04-17,"IL","TORNADO",1,50,2.5,"M",0,"",1963-04-01,2.5,0,2.5
"29185",1963-04-19,"IL","TORNADO",0,10,250,"K",0,"",1963-04-01,0.25,0,0.25
"29189",1963-04-22,"IL","TORNADO",1,5,250,"K",0,"",1963-04-01,0.25,0,0.25
"29194",1963-04-22,"IL","TORNADO",0,20,25,"K",0,"",1963-04-01,0.025,0,0.025
"29195",1963-04-22,"IL","TORNADO",0,5,250,"K",0,"",1963-04-01,0.25,0,0.25
"29196",1963-04-22,"IL","TORNADO",0,20,25,"K",0,"",1963-04-01,0.025,0,0.025
"29254",1964-03-25,"IL","TORNADO",0,2,25,"K",0,"",1964-03-01,0.025,0,0.025
"29261",1964-04-02,"IL","TORNADO",0,4,25,"K",0,"",1964-04-01,0.025,0,0.025
"29322",1965-04-11,"IL","TORNADO",6,75,0,"K",0,"",1965-04-01,0,0,0
"29330",1965-04-23,"IL","TORNADO",0,1,250,"K",0,"",1965-04-01,0.25,0,0.25
"29334",1965-04-24,"IL","TORNADO",0,1,25,"K",0,"",1965-04-01,0.025,0,0.025
"29349",1965-05-26,"IL","TORNADO",0,11,250,"K",0,"",1965-05-01,0.25,0,0.25
"29406",1965-09-14,"IL","TORNADO",0,30,2.5,"M",0,"",1965-09-01,2.5,0,2.5
"29408",1965-09-14,"IL","TORNADO",0,2,250,"K",0,"",1965-09-01,0.25,0,0.25
"29409",1965-09-14,"IL","TORNADO",0,2,25,"K",0,"",1965-09-01,0.025,0,0.025
"29421",1965-11-12,"IL","TORNADO",2,90,25,"M",0,"",1965-11-01,25,0,25
"29431",1965-11-26,"IL","TORNADO",0,5,25,"K",0,"",1965-11-01,0.025,0,0.025
"29474",1966-06-09,"IL","TORNADO",1,30,0,"K",0,"",1966-06-01,0,0,0
"29513",1966-10-14,"IL","TORNADO",0,20,2.5,"M",0,"",1966-10-01,2.5,0,2.5
"29520",1967-01-24,"IL","TORNADO",0,1,0,"K",0,"",1967-01-01,0,0,0
"29521",1967-01-24,"IL","TORNADO",0,12,250,"K",0,"",1967-01-01,0.25,0,0.25
"29522",1967-01-24,"IL","TORNADO",1,3,25,"K",0,"",1967-01-01,0.025,0,0.025
"29530",1967-01-24,"IL","TORNADO",0,5,25,"K",0,"",1967-01-01,0.025,0,0.025
"29550",1967-04-21,"IL","TORNADO",24,410,250,"K",0,"",1967-04-01,0.25,0,0.25
"29553",1967-04-21,"IL","TORNADO",0,40,25,"M",0,"",1967-04-01,25,0,25
"29557",1967-04-21,"IL","TORNADO",0,1,2.5,"K",0,"",1967-04-01,0.0025,0,0.0025
"29560",1967-04-21,"IL","TORNADO",0,3,2.5,"M",0,"",1967-04-01,2.5,0,2.5
"29564",1967-04-21,"IL","TORNADO",1,97,2.5,"M",0,"",1967-04-01,2.5,0,2.5
"29566",1967-04-21,"IL","TORNADO",33,500,25,"M",0,"",1967-04-01,25,0,25
"29630",1967-12-21,"IL","TORNADO",0,2,250,"K",0,"",1967-12-01,0.25,0,0.25
"29646",1968-05-15,"IL","TORNADO",0,25,2.5,"M",0,"",1968-05-01,2.5,0,2.5
